,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
score,-2.0036580017880583,-2.1365564192581035,-2.1848607033646745,-2.2970499303771827,-2.3689404174830506,-2.456082720151756,-2.50019408049626,-2.567322975834802,-2.6332672313991985,-2.6770775385843137,-2.696067797575996,-2.7180893171079816,-2.7743551552868677,-2.7800468947782515,-2.78922776828551,-2.825739761364116,-2.859120183348973,-2.883449635869625,-2.8843909896922697,-2.9012747984107987,-2.907948028916735,-2.9396197331165475,-2.972387338114643,-2.994628041789742,-3.0143010934596584,-3.0589139489710733,-3.0833380732694335,-3.0837234409971623,-3.0848718156234574,-3.090461589389734,-3.1085166771561084,-3.1105135804504163,-3.121905666423132,-3.1249482465473575,-3.1257345573432573,-3.131600155972909,-3.1320113138262404,-3.1398376068621654
variance,0.6873266688194747,0.6662153105326268,0.6650772962930492,0.6449145450029518,0.6339822974682737,0.6187413359097923,0.6115726763336781,0.599776665803749,0.5861606296022,0.5807426307695269,0.5801230055994447,0.5791517987053496,0.5698702667236757,0.5719750299302121,0.5723149264737896,0.564752679611888,0.5591653866575015,0.5557215525085587,0.5579274641667223,0.5563925318618541,0.5578666032218564,0.5515986120302868,0.5432082351886577,0.5384151992484396,0.5350874201770027,0.5248769937079513,0.5188259055954335,0.5191049963166062,0.5202563843163246,0.5209637580599829,0.5176398243482306,0.5171076265906375,0.5142336093547191,0.5140321762089106,0.5142240487106017,0.5137919837424638,0.5140592241649705,0.5122034468282055
dot product,0.8131276016492964,0.8270404701711969,0.8360185184487644,0.8463587130772076,0.8541774619775744,0.8624613455762264,0.8669824218994588,0.8733305946492099,0.8783498240411597,0.883861086178579,0.887287362874866,0.8911089426448061,0.896793191091579,0.8991943969137776,0.9012345095413756,0.9039995600399561,0.9073232686642955,0.9101228586790603,0.9116346764384874,0.9140904787992723,0.9163095677164609,0.9188831138414817,0.9204024087361231,0.9219747279070122,0.9239126707981332,0.9267089860189853,0.9279631580111468,0.9282076859893962,0.9291281937144862,0.9306705727139365,0.9322872300401601,0.9323672920444658,0.9329212988974578,0.9334089550348179,0.9336813406950124,0.93459522144006,0.9348377972642303,0.9352895894693565
